DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
11/2/23,01:00:00,BAL,,Cash balance at the start of business day 02.11 CST,,,,125396089.36,,,,,,
11/2/23,09:31:06,TRD,1743977719,"SOLD -60,000 FDX @247.02",-250.48,,14821200,140217038.88,,,,,,
11/2/23,09:35:28,TRD,1747659570,"SOLD -20,000 BA @192.56",-65.09,,3851200,144068173.79,,,,,,
11/2/23,10:27:46,TRD,1748949489,"SOLD -25,000 TSLA @215.52",-91.06,,5388000,149456082.73,,,,,,
11/2/23,16:15:00,ADJ,,/ESZ23:XCME mark to market at 4335.75 official settlement price,,,-119625,149336457.73,,,,,,
11/2/23,17:00:00,ADJ,,/6EZ23:XCME mark to market at 1.06445 official settlement price,,,-1031.25,149335426.48,,,,,,
11/2/23,17:15:00,ADJ,,/CLZ23:XNYM mark to market at 82.46 official settlement price,,,-202000,149133426.48,,,,,,
,,,,TOTAL,($406.63),,"$23,737,743.75","$149,133,426.48",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,11/2/23,01:00:00,BAL,--,Cash balance at the start of the business day 02.11 CST.,--,--,--,"$10,000.00",,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Total Cash $149,133,426.48",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,,
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,11/2/23 10:27:46,STOCK,SELL,-25000,TO OPEN,TSLA,,,STOCK,~,MKT,DAY,FILLED
,,10/31/23 15:02:09,FUTURE,BUY,100,TO CLOSE,/CLZ23,DEC 23,,FUTURE,78,LMT,GTC,CANCELED
,,10/31/23 05:42:54,STOCK,SELL,-20000,TO OPEN,BA,,,STOCK,192.5,LMT,GTC,FILLED
,,10/21/23 12:30:32,STOCK,SELL,-30000,TO OPEN,ACN,,,STOCK,311,LMT,GTC,FILLED
,,10/21/23 12:27:48,STOCK,SELL,-160000,TO OPEN,CRM,,,STOCK,212.7,LMT,GTC,WORKING
,,10/21/23 12:17:46,STOCK,SELL,-160000,TO OPEN,ORCL,,,STOCK,110,LMT,GTC,WORKING
,,10/21/23 12:00:31,STOCK,BUY,100000,TO OPEN,WMT,,,STOCK,155,LMT,GTC,WORKING
,,10/21/23 11:28:49,STOCK,SELL,-60000,TO OPEN,FDX,,,STOCK,246.2,LMT,GTC,FILLED
,,,,,,,,,,,,,,
Account Trade History,,,,,,,,,,,,,,
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type,,
,11/2/23 10:27:46,STOCK,SELL,-25000,TO OPEN,TSLA,,,STOCK,215.52,215.52,MKT,,
,11/2/23 09:35:28,STOCK,SELL,-20000,TO OPEN,BA,,,STOCK,192.56,192.56,LMT,,
,11/2/23 09:31:06,STOCK,SELL,-60000,TO OPEN,FDX,,,STOCK,247.02,247.02,LMT,,
,,,,,,,,,,,,,,
Equities,,,,,,,,,,,,,,
Symbol,Description,Qty,Trade Price,Close Price,P/L Day,P/L Open,P/L %,Close Value,,,,,,
TSLA,TESLA INC COM,-50000,215.863,218.51,"($396,000.00)","($132,350.00)",-1.23%,"($10,925,500.00)",,,,,,
BAC,BANK OF AMERICA CORPORATION COM,-220000,26.26,27.62,"($268,400.00)","($299,200.00)",-5.18%,"($6,076,400.00)",,,,,,
NKE,NIKE INC COM CL B,-50000,102.56,105.08,"($210,000.00)","($126,000.00)",-2.46%,"($5,254,000.00)",,,,,,
JPM,JP MORGAN CHASE & CO COM,-50000,138.52,141.42,"($124,000.00)","($145,000.00)",-2.09%,"($7,071,000.00)",,,,,,
PEP,PEPSICO INC COM,-55000,160,166.83,"($107,800.00)","($375,650.00)",-4.27%,"($9,175,650.00)",,,,,,
KO,COCA-COLA CO COM,-100000,56.57,57.09,"($65,000.00)","($52,000.00)",-0.92%,"($5,709,000.00)",,,,,,
COST,COSTCO WHOLESALE CORP COM,18500,542,555.97,"($15,355.00)","$258,445.00",+2.58%,"$10,285,445.00",,,,,,
FDX,FEDEX CORP COM,-60000,247.02,247.25,"($13,800.00)","($13,800.00)",-0.09%,"($14,835,000.00)",,,,,,
BA,BOEING CO COM,-20000,192.56,192.01,"$11,000.00","$11,000.00",+0.29%,"($3,840,200.00)",,,,,,
NFLX,NETFLIX INC COM,10000,412.99,424.71,"$45,200.00","$117,200.00",+2.84%,"$4,247,100.00",,,,,,
,OVERALL TOTALS,,,,"($1,144,155.00)","($757,355.00)",-1.00%,"($48,354,205.00)",,,,,,
,,,,,,,,,,,,,,
Futures,,,,,,,,,,,,,,
Symbol,Description,SPC,Exp,Qty,Trade Price,Close Price,P/L Day,P/L Open,Close Value,,,,,
/ESZ23,"E-mini S&P 500 Index Futures,Dec-2023,ETH (prev. /ESZ3)",1/50,DEC 23,-30,4259.5,4335.75,$0.00,"($114,375.00)",$0.00,,,,,
/CLZ23,"Light Sweet Crude Oil Futures,Dec-2023,ETH (prev. /CLZ3)",1/1000,DEC 23,-100,81.3945,82.46,$0.00,"($106,550.00)",$0.00,,,,,
/6EZ23,"Euro FX Futures,Dec-2023,ETH (prev. /6EZ3)",1/125000,DEC 23,-1,1.0563,1.06445,$0.00,"($1,018.75)",$0.00,,,,,
,OVERALL TOTALS,,,,,,$0.00,"($221,943.75)",$0.00,,,,,
,,,,,,,,,,,,,,
Profits and Losses,,,,,,,,,,,,,,
Symbol,Description,P/L Open,P/L %,P/L Day,P/L YTD,P/L Diff,Margin Req,Close Value,,,,,,
NFLX,NETFLIX INC COM,"$117,200.00",+2.84%,"$45,200.00","$226,000.00",$0.00,"$2,123,550.00","$4,247,100.00",,,,,,
BA,BOEING CO COM,"$11,000.00",+0.29%,"$11,000.00","$11,000.00",$0.00,"$1,920,100.00","($3,840,200.00)",,,,,,
/6EZ23,"Euro FX Futures,Dec-2023,ETH (prev. /6EZ3)","($1,018.75)",-0.77%,$0.00,"($1,018.75)",$0.00,"$2,310.00",$0.00,,,,,,
/CLZ23,"Light Sweet Crude Oil Futures,Dec-2023,ETH (prev. /CLZ3)","($106,550.00)",-1.31%,$0.00,"($97,550.00)",$0.00,"$726,000.00",$0.00,,,,,,
/ESZ23,"E-mini S&P 500 Index Futures,Dec-2023,ETH (prev. /ESZ3)","($114,375.00)",-1.79%,$0.00,"$341,375.00",$0.00,"$369,600.00",$0.00,,,,,,
/MCLQ23,"Micro Crude Oil Futures,Aug-2023,ETH (prev. /MCLQ3)",$0.00,0.00%,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,
/MCLZ23,"Micro Crude Oil Futures,Dec-2023,ETH (prev. /MCLZ3)",$0.00,0.00%,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,
/NQH23,"E-mini Nasdaq 100 Index Futures,Mar-2023,ETH (prev. /NQH3)",$0.00,0.00%,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,
/NQZ23,"E-mini Nasdaq 100 Index Futures,Dec-2023,ETH (prev. /NQZ3)",$0.00,0.00%,$0.00,"$134,615.00",$0.00,$0.00,$0.00,,,,,,
