DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
11/9/23,01:00:00,BAL,,Cash balance at the start of business day 09.11 CST,,,,128600506.4,,,,,,
11/9/23,06:36:26,TRD,1751145128,BOT +200 /ESZ23:XCME @4402.00,-238,-450,-25000,128574818.4,,,,,,
11/9/23,08:49:49,TRD,1751155971,"BOT +1,000 /ESZ23:XCME @4411.25",-1190,-2250,-235000,128336378.4,,,,,,
11/9/23,08:53:05,TRD,1751155990,BOT +400 /ESZ23:XCME @4410.75,-476,-900,,128335002.4,,,,,,
11/9/23,09:31:53,TRD,1751172003,"SOLD -1,000 /ESZ23:XCME @4404.75",-1190,-2250,-315000,128016562.4,,,,,,
11/9/23,09:46:32,TRD,1751198226,"SOLD -1,000 /ESZ23:XCME @4398.25",-1190,-2250,,128013122.4,,,,,,
11/9/23,09:58:08,TRD,1751215696,"BOT +1,000 /ESZ23:XCME @4402.75",-1190,-2250,-225000,127784682.4,,,,,,
11/9/23,10:06:38,TRD,1751234801,"SOLD -1,000 /ESZ23:XCME @4394.25",-1190,-2250,,127781242.4,,,,,,
11/9/23,10:08:50,TRD,1751239009,"BOT +1,000 /ESZ23:XCME @4390.25",-1190,-2250,200000,127977802.4,,,,,,
11/9/23,11:07:15,TRD,1751245143,"SOLD -1,000 /ESZ23:XCME @4400.50",-1190,-2250,,127974362.4,,,,,,
11/9/23,13:20:41,TRD,1751400215,"BOT +1,000 /ESZ23:XCME @4384.75",-1190,-2250,787500,128758422.4,,,,,,
11/9/23,14:27:34,TRD,1751442263,SOLD -50 /ESZ23:XCME @4373.75,-59.5,-112.5,,128758250.4,,,,,,
11/9/23,14:36:06,TRD,1751446074,BOT +50 /ESZ23:XCME @4367.25,-59.5,-112.5,16250,128774328.4,,,,,,
,,,,TOTAL,"($10,353.00)","($19,575.00)","$203,750.00","$128,774,328.40",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,11/9/23,01:00:00,BAL,--,Cash balance at the start of the business day 09.11 CST.,--,--,--,"$10,000.00",,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Total Cash $128,774,328.40",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,,
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,11/9/23 14:32:36,FUTURE,BUY,50,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,CANCELED
,,,OCO #1751446074,,,,,,,,4378.25,STP,STD,
,,11/9/23 14:32:36,FUTURE,BUY,50,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4367.25,LMT,DAY,FILLED
,,,OCO #1751446074,,,,,,,,,,,
,,11/9/23 14:28:17,FUTURE,BUY,50,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4367.75,LMT,DAY,CANCELED
,,11/9/23 14:27:25,FUTURE,SELL,-50,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,11/9/23 13:20:38,FUTURE,BUY,1000,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,11/9/23 13:10:09,FUTURE,BUY,1000,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4375,LMT,DAY,CANCELED
,,,RE #1751384815,,,,,,,,,,,
,,11/9/23 13:08:49,FUTURE,BUY,1000,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4370,LMT,DAY,CANCELED
,,,RE #1751384815,,,,,,,,,,,
