DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
10/24/23,01:00:00,BAL,,Cash balance at the start of business day 24.10 CST,,,,133277154.13,,,,,,
10/24/23,08:31:46,TRD,1744665516,BOT +10 /ZBZ23:XCBT @109'22,-8.1,-22.5,,133277123.53,,,,,,
10/24/23,08:50:51,TRD,1744665553,BOT +20 /ZBZ23:XCBT @109'24,-16.2,-45,,133277062.33,,,,,,
10/24/23,09:13:37,TRD,1744672087,SOLD -30 /CLZ23:XNYM @85.32,-45.3,-67.5,,133276949.53,,,,,,
10/24/23,09:46:29,TRD,1744724110,"SOLD -5,000 TSLA @218.81",-18.49,,1094050,134370981.04,,,,,,
10/24/23,09:58:28,TRD,1744749586,BOT +30 /CLZ23:XNYM @85.02,-45.3,-67.5,9000,134379868.24,,,,,,
10/24/23,10:24:29,TRD,1744803472,"BOT +10,000 NFLX @412.99",,,-4129900,130249968.24,,,,,,
10/24/23,10:39:41,TRD,1744828089,BOT +20 /ESZ23:XCME @4280.75,-23.8,-45,,130249899.44,,,,,,
10/24/23,11:28:43,TRD,1744891503,BOT +20 /ESZ23:XCME @4267.75,-23.8,-45,,130249830.64,,,,,,
10/24/23,16:15:00,ADJ,,/ESZ23:XCME mark to market at 4271.25 settlement price,,,-6000,130243830.64,,,,,,
10/24/23,17:00:00,ADJ,,/ZBZ23:XCBT mark to market at 110'00 settlement price,,,8125,130251955.64,,,,,,
,,,,TOTAL,($180.99),($292.50),"($3,024,725.00)","$130,251,955.64",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,10/24/23,01:00:00,BAL,--,Cash balance at the start of the business day 24.10 CST.,--,--,--,"$10,000.00",,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Total Cash $130,251,955.64",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,,
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,10/24/23 11:28:42,FUTURE,BUY,20,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/24/23 10:39:41,FUTURE,BUY,20,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/24/23 10:24:28,STOCK,BUY,10000,TO OPEN,NFLX,,,STOCK,~,MKT,DAY,FILLED
,,,RE #1744682803,,,,,,,,,,,
,,10/24/23 09:58:27,FUTURE,BUY,30,TO CLOSE,/CLZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,,RE #1744672091,,,,,,,,,,,
,,10/24/23 09:46:26,STOCK,SELL,-5000,TO OPEN,TSLA,,,STOCK,~,MKT,DAY,FILLED
,,10/24/23 09:31:22,STOCK,BUY,10000,TO OPEN,NFLX,,,STOCK,410.4,LMT,DAY,CANCELED
,,10/24/23 09:14:10,FUTURE,BUY,30,TO CLOSE,/CLZ23,DEC 23,,FUTURE,~,MKT,GTC,CANCELED
,,,,,,,,,,,86.62,STP,STD,
,,10/24/23 09:13:37,FUTURE,SELL,-30,TO OPEN,/CLZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/24/23 08:42:02,FUTURE,BUY,20,TO OPEN,/ZBZ23,DEC 23,,FUTURE,109'24,LMT,DAY,FILLED
,,10/24/23 08:31:46,FUTURE,BUY,10,TO OPEN,/ZBZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/21/23 12:30:32,STOCK,SELL,-30000,TO OPEN,ACN,,,STOCK,311,LMT,GTC,WORKING
,,10/21/23 12:27:48,STOCK,SELL,-160000,TO OPEN,CRM,,,STOCK,212.7,LMT,GTC,WORKING
,,10/21/23 12:25:22,STOCK,SELL,-220000,TO OPEN,BAC,,,STOCK,26.25,LMT,GTC,WORKING
,,10/21/23 12:19:43,STOCK,BUY,18500,TO OPEN,COST,,,STOCK,542,LMT,GTC,WORKING
,,10/21/23 12:17:46,STOCK,SELL,-160000,TO OPEN,ORCL,,,STOCK,110,LMT,GTC,WORKING
,,10/21/23 12:00:31,STOCK,BUY,100000,TO OPEN,WMT,,,STOCK,155,LMT,GTC,WORKING
,,10/21/23 11:33:23,STOCK,SELL,-20000,TO OPEN,TSLA,,,STOCK,231,LMT,GTC,WORKING
,,10/21/23 11:31:05,STOCK,BUY,160000,TO OPEN,GOOGL,,,STOCK,127,LMT,GTC,WORKING
,,10/21/23 11:28:49,STOCK,SELL,-60000,TO OPEN,FDX,,,STOCK,246.2,LMT,GTC,WORKING
,,,,,,,,,,,,,,
Account Trade History,,,,,,,,,,,,,,
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type,,
,10/24/23 11:28:43,FUTURE,BUY,20,TO OPEN,/ESZ23,DEC 23,,FUTURE,4267.75,4267.75,MKT,,
,10/24/23 10:39:41,FUTURE,BUY,20,TO OPEN,/ESZ23,DEC 23,,FUTURE,4280.75,4280.75,MKT,,
,10/24/23 10:24:29,STOCK,BUY,10000,TO OPEN,NFLX,,,STOCK,412.99,412.99,MKT,,
,10/24/23 09:58:28,FUTURE,BUY,30,TO CLOSE,/CLZ23,DEC 23,,FUTURE,85.02,85.02,MKT,,
,10/24/23 09:46:29,STOCK,SELL,-5000,TO OPEN,TSLA,,,STOCK,218.81,218.81,MKT,,
,10/24/23 09:13:37,FUTURE,SELL,-30,TO OPEN,/CLZ23,DEC 23,,FUTURE,85.32,85.32,MKT,,
,10/24/23 08:50:51,FUTURE,BUY,20,TO OPEN,/ZBZ23,DEC 23,,FUTURE,109'24,109'24,LMT,,
,10/24/23 08:31:46,FUTURE,BUY,10,TO OPEN,/ZBZ23,DEC 23,,FUTURE,109'22,109'22,MKT,,
,,,,,,,,,,,,,,
Equities,,,,,,,,,,,,,,
Symbol,Description,Qty,Trade Price,Mark,P/L Day,P/L Open,P/L %,Mark Value,,,,,,
NKE,NIKE INC COM CL B,-50000,102.56,105.17,"($118,000.00)","($130,500.00)",-2.54%,"($5,258,500.00)",,,,,,
PEP,PEPSICO INC COM,-55000,160,162.19,"($116,050.00)","($120,450.00)",-1.37%,"($8,920,450.00)",,,,,,
AAPL,APPLE INC COM,-100000,174.1,173.19,"($19,000.00)","$91,000.00",+0.52%,"($17,319,000.00)",,,,,,
TSLA,TESLA INC COM,-10000,216.945,216.06,"($6,150.00)","$8,850.00",+0.41%,"($2,160,600.00)",,,,,,
NFLX,NETFLIX INC COM,10000,412.99,413.36,"$3,700.00","$3,700.00",+0.09%,"$4,133,600.00",,,,,,
JNJ,JOHNSON & JOHNSON COM,-70000,153,151.23,"$11,200.00","$123,900.00",+1.16%,"($10,586,100.00)",,,,,,
CSCO,CISCO SYSTEMS INC COM,200000,52.2,53.01,"$162,000.00","$162,000.00",+1.55%,"$10,602,000.00",,,,,,
,OVERALL TOTALS,,,,"($82,300.00)","$138,500.00",+0.24%,"($29,509,050.00)",,,,,,
,,,,,,,,,,,,,,
Futures,,,,,,,,,,,,,,
Symbol,Description,SPC,Exp,Qty,Trade Price,Mark,P/L Day,P/L Open,Mark Value,,,,,
