DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
10/25/23,01:00:00,BAL,,Cash balance at the start of business day 25.10 CST,,,,130251955.64,,,,,,
10/25/23,09:31:08,TRD,1743977720,"BOT +160,000 GOOGL @126.97",,,-20315200,109936755.64,,,,,,
10/25/23,09:56:40,TRD,1745334002,SOLD -30 /ZBZ23:XCBT @109'06,-24.3,-67.5,-24375,109912288.84,,,,,,
10/25/23,10:47:36,TRD,1745422327,"SOLD -160,000 GOOGL @127.16",-343.84,,20345600,130257545,,,,,,
10/25/23,11:43:57,TRD,1745494627,SOLD -60 /ESZ23:XCME @4235.75,-71.4,-135,-71000,130186338.6,,,,,,
10/25/23,11:44:44,TRD,1745494685,"SOLD -5,000 TSLA @217.05",-18.34,,1085250,131271570.26,,,,,,
10/25/23,13:08:34,TRD,1745577321,SOLD -1 TSLA @215.53,-0.01,,215.53,131271785.78,,,,,,
10/25/23,13:11:12,TRD,1745577369,"SOLD -4,999 TSLA @215.53",-18.21,,1077434.47,132349202.04,,,,,,
10/25/23,14:07:22,TRD,1745629620,"SOLD -5,000 TSLA @214.56",-18.13,,1072800,133421983.91,,,,,,
10/25/23,14:14:05,TRD,1745631788,"SOLD -25,000 GOOGL @125.52",-53.03,,3138000,136559930.88,,,,,,
10/25/23,14:16:27,TRD,1745634479,BOT +20 /ESZ23:XCME @4214.00,-23.8,-45,21750,136581612.08,,,,,,
10/25/23,14:18:20,TRD,1745637226,BOT +50 /ESZ23:XCME @4215.75,-59.5,-112.5,,136581440.08,,,,,,
10/25/23,14:28:47,TRD,1745644240,BOT +50 /ESZ23:XCME @4211.25,-59.5,-112.5,,136581268.08,,,,,,
10/25/23,15:18:09,TRD,1745684226,SOLD -100 /ESZ23:XCME @4210.00,-119,-225,-17500,136563424.08,,,,,,
10/25/23,15:31:44,TRD,1745634437,"BOT +25,000 GOOGL @126.03",,,-3150750,133412674.08,,,,,,
,,,,TOTAL,($809.06),($697.50),"$3,162,225.00","$133,412,674.08",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,10/25/23,01:00:00,BAL,--,Cash balance at the start of the business day 25.10 CST.,--,--,--,"$10,000.00",,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Total Cash $133,412,674.08",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,,
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,10/25/23 15:18:02,FUTURE,SELL,-100,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,,RE #1745680059,,,,,,,,,,,
,,10/25/23 15:13:47,FUTURE,SELL,-100,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4214.25,LMT,DAY,CANCELED
,,10/25/23 14:28:45,FUTURE,BUY,50,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/25/23 14:18:16,FUTURE,BUY,50,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/25/23 14:16:22,FUTURE,BUY,20,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/25/23 14:14:58,STOCK,BUY,25000,TO CLOSE,GOOGL,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,,126,STP,STD,
,,10/25/23 14:13:57,STOCK,SELL,-25000,TO OPEN,GOOGL,,,STOCK,~,MKT,DAY,FILLED
,,10/25/23 14:07:21,STOCK,SELL,-5000,TO OPEN,TSLA,,,STOCK,~,MKT,DAY,FILLED
,,,RE #1745629608,,,,,,,,,,,
,,10/25/23 14:07:07,STOCK,SELL,-5000,TO OPEN,TSLA,,,STOCK,214.85,LMT,DAY,CANCELED
,,10/25/23 13:11:05,STOCK,SELL,-4999,TO OPEN,TSLA,,,STOCK,~,MKT,DAY,FILLED
,,10/25/23 13:08:25,STOCK,SELL,-1,TO OPEN,TSLA,,,STOCK,~,MKT,DAY,(0) EXPIRED
,,10/25/23 11:44:42,STOCK,SELL,-5000,TO OPEN,TSLA,,,STOCK,~,MKT,DAY,FILLED
,,10/25/23 11:43:24,FUTURE,SELL,-60,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4235.25,LMT,DAY,FILLED
,,10/25/23 10:47:35,STOCK,SELL,-160000,TO CLOSE,GOOGL,,,STOCK,~,MKT,DAY,FILLED
,,,RE #1745418147,,,,,,,,,,,
,,10/25/23 10:46:00,STOCK,SELL,-160000,TO CLOSE,GOOGL,,,STOCK,127.3,LMT,DAY,CANCELED
,,10/25/23 09:56:37,FUTURE,SELL,-30,TO CLOSE,/ZBZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,,RE #1745287555,,,,,,,,,,,
,,10/25/23 09:38:00,FUTURE,SELL,-30,TO CLOSE,/ZBZ23,DEC 23,,FUTURE,109'09,LMT,DAY,CANCELED
,,10/21/23 12:30:32,STOCK,SELL,-30000,TO OPEN,ACN,,,STOCK,311,LMT,GTC,WORKING
,,10/21/23 12:27:48,STOCK,SELL,-160000,TO OPEN,CRM,,,STOCK,212.7,LMT,GTC,WORKING
,,10/21/23 12:25:22,STOCK,SELL,-220000,TO OPEN,BAC,,,STOCK,26.25,LMT,GTC,WORKING
,,10/21/23 12:19:43,STOCK,BUY,18500,TO OPEN,COST,,,STOCK,542,LMT,GTC,WORKING
,,10/21/23 12:17:46,STOCK,SELL,-160000,TO OPEN,ORCL,,,STOCK,110,LMT,GTC,WORKING
,,10/21/23 12:00:31,STOCK,BUY,100000,TO OPEN,WMT,,,STOCK,155,LMT,GTC,WORKING
,,10/21/23 11:33:23,STOCK,SELL,-20000,TO OPEN,TSLA,,,STOCK,231,LMT,GTC,CANCELED
,,10/21/23 11:31:05,STOCK,BUY,160000,TO OPEN,GOOGL,,,STOCK,127,LMT,GTC,FILLED
,,10/21/23 11:28:49,STOCK,SELL,-60000,TO OPEN,FDX,,,STOCK,246.2,LMT,GTC,WORKING
,,,,,,,,,,,,,,
Account Trade History,,,,,,,,,,,,,,
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type,,
,10/25/23 15:31:44,STOCK,BUY,25000,TO CLOSE,GOOGL,,,STOCK,126.03,126.03,STP,,
,10/25/23 15:18:09,FUTURE,SELL,-100,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4210,4210,MKT,,
,10/25/23 14:28:47,FUTURE,BUY,50,TO OPEN,/ESZ23,DEC 23,,FUTURE,4211.25,4211.25,MKT,,
,10/25/23 14:18:20,FUTURE,BUY,50,TO OPEN,/ESZ23,DEC 23,,FUTURE,4215.75,4215.75,MKT,,
,10/25/23 14:16:27,FUTURE,BUY,20,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4214,4214,MKT,,
,10/25/23 14:14:05,STOCK,SELL,-25000,TO OPEN,GOOGL,,,STOCK,125.52,125.52,MKT,,
,10/25/23 14:07:22,STOCK,SELL,-5000,TO OPEN,TSLA,,,STOCK,214.56,214.56,MKT,,
,10/25/23 13:11:12,STOCK,SELL,-4999,TO OPEN,TSLA,,,STOCK,215.53,215.53,MKT,,
,10/25/23 13:08:34,STOCK,SELL,-1,TO OPEN,TSLA,,,STOCK,215.53,215.53,MKT,,
,10/25/23 11:44:44,STOCK,SELL,-5000,TO OPEN,TSLA,,,STOCK,217.05,217.05,MKT,,
,10/25/23 11:43:57,FUTURE,SELL,-60,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4235.75,4235.75,LMT,,
,10/25/23 10:47:36,STOCK,SELL,-160000,TO CLOSE,GOOGL,,,STOCK,127.16,127.16,MKT,,
