DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
10/31/23,01:00:00,BAL,,Cash balance at the start of business day 31.10 CST,,,,130500865.75,,,,,,
10/31/23,04:39:39,TRD,1747659787,BOT +100 /ZBZ23:XCBT @109'30,-81,-225,,130500559.75,,,,,,
10/31/23,06:18:27,TRD,1747659596,SOLD -300 /ESZ23:XCME @4195.00,-357,-675,138750,130638277.75,,,,,,
10/31/23,07:24:42,TRD,1747670628,BOT +100 /ESZ23:XCME @4198.75,-119,-225,,130637933.75,,,,,,
10/31/23,08:48:55,TRD,1747682259,BOT +100 /ZBZ23:XCBT @109'25,-81,-225,,130637627.75,,,,,,
10/31/23,09:31:43,TRD,1747670687,"SOLD -100,000 KO @56.57",-95.6,,5657000,136294532.15,,,,,,
10/31/23,09:43:16,TRD,1747729044,"SOLD -80,000 GOOGL @124.14",-167.84,,9931200,146225564.31,,,,,,
10/31/23,09:44:53,TRD,1747732360,"SOLD -50,000 JPM @138.52",-117.05,,6926000,153151447.26,,,,,,
10/31/23,09:51:55,TRD,1747745090,SOLD -100 /ESZ23:XCME @4175.25,-119,-225,-117500,153033603.26,,,,,,
10/31/23,09:56:14,TRD,1747756939,SOLD -200 /ESZ23:XCME @4175.50,-238,-450,,153032915.26,,,,,,
10/31/23,10:07:41,TRD,1747780005,BOT +200 /ESZ23:XCME @4179.25,-238,-450,-37500,152994727.26,,,,,,
10/31/23,12:10:59,TRD,1747935308,SOLD -200 /ZBZ23:XCBT @109'17,-162,-450,-65625,152928490.26,,,,,,
10/31/23,13:25:10,TRD,1747996042,BOT +300 /ESZ23:XCME @4199.75,-357,-675,,152927458.26,,,,,,
10/31/23,13:27:24,TRD,1747999016,BOT +200 /ESZ23:XCME @4197.25,-238,-450,,152926770.26,,,,,,
10/31/23,13:39:37,TRD,1748009209,"BOT +80,000 GOOGL @123.26",,,-9860800,143065970.26,,,,,,
10/31/23,13:42:39,TRD,1748009287,"BOT +100,000 AAPL @170.65",,,-17065000,126000970.26,,,,,,
10/31/23,13:47:35,TRD,1748013670,SOLD -95 /CLZ23:XNYM @81.19,-143.45,-213.75,,126000613.06,,,,,,
10/31/23,14:19:35,TRD,1748038295,"BOT +5,000 AMZN @132.89",,,-664450,125336163.06,,,,,,
10/31/23,16:15:00,ADJ,,/ESZ23:XCME mark to market at 4212.25 settlement price,,,337500,125673663.06,,,,,,
10/31/23,17:00:00,ADJ,,/6EZ23:XCME mark to market at 1.06025 settlement price,,,456.25,125674119.31,,,,,,
10/31/23,17:15:00,ADJ,,/CLZ23:XNYM mark to market at 81.02 settlement price,,,22600,125696719.31,,,,,,
,,,,TOTAL,"($2,513.94)","($4,263.75)","($4,797,368.75)","$125,696,719.31",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,10/31/23,01:00:00,BAL,--,Cash balance at the start of the business day 31.10 CST.,--,--,--,"$10,000.00",,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Total Cash $125,696,719.31",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,,
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,10/31/23 15:35:33,FUTURE,SELL,-500,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4244.75,LMT,GTC,WORKING
,,,RE #1748069388,,,,,,,,,,,
,,10/31/23 15:02:09,FUTURE,BUY,100,TO CLOSE,/CLZ23,DEC 23,,FUTURE,78,LMT,GTC,WORKING
,,10/31/23 14:57:58,FUTURE,SELL,-500,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4224.75,LMT,GTC,CANCELED
,,10/31/23 14:19:32,STOCK,BUY,5000,TO CLOSE,AMZN,,,STOCK,~,MKT,DAY,FILLED
,,10/31/23 13:47:11,FUTURE,SELL,-95,TO OPEN,/CLZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,,RE #1748013657,,,,,,,,,,,
,,10/31/23 13:46:42,FUTURE,SELL,-95,TO OPEN,/CLZ23,DEC 23,,FUTURE,81.41,LMT,DAY,CANCELED
,,10/31/23 13:42:32,STOCK,BUY,100000,TO CLOSE,AAPL,,,STOCK,~,MKT,DAY,FILLED
,,10/31/23 13:39:36,STOCK,BUY,80000,TO CLOSE,GOOGL,,,STOCK,~,MKT,DAY,FILLED
,,10/31/23 13:27:24,FUTURE,BUY,200,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/31/23 13:25:10,FUTURE,BUY,300,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/31/23 12:10:59,FUTURE,SELL,-200,TO CLOSE,/ZBZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/31/23 10:07:40,FUTURE,BUY,200,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/31/23 09:56:14,FUTURE,SELL,-200,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/31/23 09:51:45,FUTURE,SELL,-100,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/31/23 09:44:53,STOCK,SELL,-50000,TO OPEN,JPM,,,STOCK,~,MKT,DAY,FILLED
,,10/31/23 09:43:15,STOCK,SELL,-80000,TO OPEN,GOOGL,,,STOCK,~,MKT,DAY,FILLED
,,10/31/23 08:48:55,FUTURE,BUY,100,TO OPEN,/ZBZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/31/23 08:01:34,STOCK,SELL,-100000,TO OPEN,KO,,,STOCK,56.55,LMT,DAY,FILLED
,,10/31/23 07:24:42,FUTURE,BUY,100,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/31/23 06:16:38,FUTURE,SELL,-300,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4195,LMT,DAY,FILLED
,,10/31/23 05:42:54,STOCK,SELL,-20000,TO OPEN,BA,,,STOCK,192.5,LMT,GTC,WORKING
,,10/31/23 05:40:26,STOCK,SELL,-35000,TO OPEN,DIS,,,STOCK,86,LMT,DAY,EXPIRED
