"DATE","TIME","TYPE","REF #","DESCRIPTION","Misc Fees","Commissions & Fees","AMOUNT","BALANCE"
"","","10/20/23 09:16:40","FUTURE","SELL","-1","TO OPEN","/ESZ23","DEC 23,,FUTURE,4301.00,LMT,DAY,CANCELED"
"Account Trade History","","","","","","","",""
"","Exec Time","Spread","Side","Qty","Pos Effect","Symbol","Exp","Strike,Type,Price,Net Price,Order Type"
"","10/20/23 13:31:33","STOCK","SELL","-100000","TO OPEN","AAPL","",",STOCK,174.10,174.10,MKT"
"","10/20/23 13:18:36","STOCK","BUY","+100000","TO CLOSE","AAPL","",",STOCK,174.48,174.48,MKT"
"","10/20/23 11:29:29","STOCK","BUY","+100000","TO CLOSE","TSLA","",",STOCK,211.63,211.63,MKT"
"","10/20/23 11:28:41","FUTURE","BUY","+10","TO CLOSE","/ESZ23","DEC 23",",FUTURE,4261.00,4261.00,MKT"
"","10/20/23 09:41:43","FUTURE","SELL","-10","TO OPEN","/ESZ23","DEC 23",",FUTURE,4301.00,4301.00,LMT"
"","10/20/23 09:38:12","STOCK","SELL","-100000","TO OPEN","AAPL","",",STOCK,174.98,174.98,MKT"
"","10/20/23 09:37:20","STOCK","BUY","+100000","TO CLOSE","AAPL","",",STOCK,174.90,174.90,STP"
"","10/20/23 09:35:43","STOCK","SELL","-100000","TO OPEN","AAPL","",",STOCK,174.92,174.92,MKT"
"","10/20/23 09:35:16","STOCK","SELL","-100000","TO OPEN","TSLA","",",STOCK,214.82,214.82,MKT"
"Equities","","","","","","","",""
"Symbol","Description","Qty","Trade Price","Mark","Mark Value","","",""
"AAPL","APPLE INC COM","-100000","174.10","172.88","($17,288,000.00)","","",""
"","OVERALL TOTALS","","","","($17,288,000.00)","","",""
"Profits and Losses","","","","","","","",""
"Symbol","Description","P/L Open","P/L %","P/L Day","P/L YTD","P/L Diff","Margin Req","Mark Value"
"/6EU23","Euro FX Futures,Sep-2023,ETH (prev. /6EU3)","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"/ESZ23","E-mini S&P 500 Index Futures,Dec-2023,ETH (prev. /ESZ3)","$0.00","0.00%","$0.00","$20,000.00","$0.00","$0.00","$0.00"
"/MCLQ23","Micro Crude Oil Futures,Aug-2023,ETH (prev. /MCLQ3)","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"/MCLZ23","Micro Crude Oil Futures,Dec-2023,ETH (prev. /MCLZ3)","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"/MNQZ23","Micro E-mini Nasdaq-100, Dec-23 (prev. /MNQZ3)","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"/NQH23","E-mini Nasdaq 100 Index Futures,Mar-2023,ETH (prev. /NQH3)","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"AAPL","APPLE INC COM","$122,000.00","+0.70%","$0.00","$174,000.00","$0.00","$8,644,000.00","($17,288,000.00)"
"ACLS","AXCELIS TECHNOLOGIES INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"ACN","ACCENTURE PLC COM","$0.00","0.00%","$0.00","$0.00","$0.00","($4,875,750.00)","$0.00"
"AMGN","AMGEN INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$28,308,350.00","$0.00"
"AMZN","AMAZON COM INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"ANET","ARISTA NETWORKS INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"BA","BOEING CO COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"BAC","BANK OF AMERICA CORPORATION COM","$0.00","0.00%","$0.00","$0.00","$0.00","($2,882,000.00)","$0.00"
"BKNG","BOOKING HOLDINGS INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"BRK/A","BERKSHIRE HATHAWAY INC COM CL A","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"CF","CF INDUSTRIES HOLDINGS INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"COIN","COINBASE GLOBAL INC COM CL A","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"COST","COSTCO WHOLESALE CORP COM","$0.00","0.00%","$0.00","$0.00","$0.00","$15,139,752.50","$0.00"
"CRM","SALESFORCE INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","($17,733,600.00)","$0.00"
"CRWD","CROWDSTRIKE HOLDINGS INC COM CL A","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"CSCO","CISCO SYSTEMS INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$15,732,000.00","$0.00"
"DHI","DR HORTON INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"DIA","SPDR DOW JONES IND UT SER 1 ETF","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"ELF","E L F BEAUTY INC COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"EME","EMCOR GROUP COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"FDX","FEDEX CORP COM","$0.00","0.00%","$0.00","$0.00","$0.00","($7,554,000.00)","$0.00"
"FIX","COMFORT SYSTEMS USA COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"GOOGL","ALPHABET INC COM CL A","$0.00","0.00%","$0.00","$0.00","$0.00","$31,163,200.00","$0.00"
"IOT","SAMSARA INC COM CL A","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
"JNJ","JOHNSON & JOHNSON COM","$0.00","0.00%","$0.00","$0.00","$0.00","($5,355,000.00)","$0.00"
"KLAC","KLA CORPORATION COM","$0.00","0.00%","$0.00","$0.00","$0.00","$0.00","$0.00"
