DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
10/27/23,01:00:00,BAL,,Cash balance at the start of business day 27.10 CST,,,,139455523.33,,,,,,
10/27/23,05:01:14,TRD,1746450106,SOLD -100 /ESZ23:XCME @4184.50,-119,-225,140000,139595179.33,,,,,,
10/27/23,09:31:02,TRD,1746421747,"SOLD -5,000 AMZN @126.35",-10.68,,631750,140226918.65,,,,,,
10/27/23,09:34:22,TRD,1746493549,"SOLD -200,000 CSCO @51.96",-175.62,,10392000,150618743.03,,,,,,
10/27/23,09:35:41,TRD,1746496953,SOLD -1 /NQZ23:XCME @14319.75,-1.19,-2.25,,150618739.59,,,,,,
10/27/23,11:05:45,TRD,1746668856,"BOT +70,000 JNJ @146.76",,,-10273200,140345539.59,,,,,,
10/27/23,13:07:50,TRD,1743977754,"BOT +18,500 COST @542.00",,,-10027000,130318539.59,,,,,,
10/27/23,13:25:08,TRD,1746815640,BOT +20 /ESZ23:XCME @4138.75,-23.8,-45,,130318470.79,,,,,,
10/27/23,13:42:36,TRD,1746829257,SOLD -5 /CLZ23:XNYM @85.28,-7.55,-11.25,,130318451.99,,,,,,
10/27/23,16:15:00,ADJ,,/ESZ23:XCME mark to market at 4137.75 official settlement price,,,-1000,130317451.99,,,,,,
10/27/23,17:00:00,ADJ,,/6EZ23:XCME mark to market at 1.0589 official settlement price,,,-81.25,130317370.74,,,,,,
10/27/23,17:15:00,ADJ,,/CLZ23:XNYM mark to market at 85.54 preliminary settlement price,,,-1300,130316070.74,,,,,,
10/27/23,17:15:00,ADJ,,/NQZ23:XCME mark to market at 14265.25 official settlement price,,,1090,130317160.74,,,,,,
10/28/23,01:00:00,BAL,,Cash balance at the start of business day 28.10 CST,,,,130317160.74,,,,,,
10/29/23,01:00:00,BAL,,Cash balance at the start of business day 29.10 CST,,,,130317160.74,,,,,,
10/29/23,17:15:00,ADJ,,/CLZ23:XNYM mark to market at 83.21 official settlement price,,,11650,130328810.74,,,,,,
10/30/23,01:00:00,BAL,,Cash balance at the start of business day 30.10 CST,,,,130328810.74,,,,,,
10/29/23,18:24:40,TRD,1747044466,BOT +50 /ESZ23:XCME @4151.25,-59.5,-112.5,,130328638.74,,,,,,
10/29/23,18:25:18,TRD,1747044467,BOT +30 /ESZ23:XCME @4152.25,-35.7,-67.5,,130328535.54,,,,,,
10/30/23,06:38:49,TRD,1747080675,BOT +50 /ESZ23:XCME @4161.25,-59.5,-112.5,,130328363.54,,,,,,
10/30/23,06:38:50,TRD,1747080675,BOT +50 /ESZ23:XCME @4161.25,-59.5,-112.5,,130328191.54,,,,,,
10/30/23,07:43:41,TRD,1747090163,SOLD -20 /ZBZ23:XCBT @109'02,-16.2,-45,,130328130.34,,,,,,
10/30/23,07:45:35,TRD,1747090166,SOLD -30 /ZBZ23:XCBT @109'02,-24.3,-67.5,,130328038.54,,,,,,
10/30/23,10:03:19,TRD,1747194710,BOT +50 /ZBZ23:XCBT @109'04,-40.5,-112.5,-3125,130324760.54,,,,,,
10/30/23,10:04:29,TRD,1747194789,SOLD -200 /ESZ23:XCME @4173.50,-238,-450,184500,130508572.54,,,,,,
10/30/23,10:11:28,TRD,1747210088,SOLD -200 /NQZ23:XCME @14423.25,-238,-450,,130507884.54,,,,,,
10/30/23,10:20:11,TRD,1747232611,BOT +201 /NQZ23:XCME @14364.00,-239.19,-452.25,235025,130742218.1,,,,,,
10/30/23,10:29:03,TRD,1747246757,SOLD -100 /NQZ23:XCME @14335.00,-119,-225,,130741874.1,,,,,,
10/30/23,10:30:40,TRD,1747250147,SOLD -200 /ESZ23:XCME @4156.75,-238,-450,,130741186.1,,,,,,
10/30/23,11:59:22,TRD,1747216658,SOLD -100 COMBO SPY 100 7 NOV 23 425/400 CALL/PUT @-.05,-1.35,-130,-500,130740554.75,,,,,,
10/30/23,13:33:43,TRD,1747443548,BOT +200 /ESZ23:XCME @4179.75,-238,-450,-230000,130509866.75,,,,,,
10/30/23,13:36:22,TRD,1747446064,BOT +100 /NQZ23:XCME @14385.75,-119,-225,-101500,130408022.75,,,,,,
10/30/23,13:41:38,TRD,1747450326,BOT +300 /ESZ23:XCME @4179.75,-357,-675,,130406990.75,,,,,,
10/30/23,16:15:00,ADJ,,/ESZ23:XCME mark to market at 4185.75 preliminary settlement price,,,90000,130496990.75,,,,,,
10/30/23,17:00:00,ADJ,,/6EZ23:XCME mark to market at 1.0639 preliminary settlement price,,,-625,130496365.75,,,,,,
10/30/23,17:15:00,ADJ,,/CLZ23:XNYM mark to market at 82.31 preliminary settlement price,,,4500,130500865.75,,,,,,
,,,,TOTAL,"($2,420.58)","($4,420.75)","($8,947,816.25)","$130,500,865.75",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,10/27/23,01:00:00,BAL,--,Cash balance at the start of the business day 27.10 CST.,--,--,--,"$10,000.00",,,,,
