DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
11/8/23,01:00:00,BAL,,Cash balance at the start of business day 08.11 CST,,,,129297396.61,,,,,,
11/8/23,09:30:41,TRD,1750735849,SOLD -150 /ESZ23:XCME @4401.00,-178.5,-337.5,,129296880.61,,,,,,
11/8/23,09:32:00,TRD,1750740036,SOLD -120 /ESZ23:XCME @4403.50,-142.8,-270,,129296467.81,,,,,,
11/8/23,09:32:53,TRD,1750740098,BOT +600 /ESZ23:XCME @4404.50,-714,-1350,-45000,129249403.81,,,,,,
11/8/23,09:33:35,TRD,1750743540,"BOT +100,000 AAPL @183.08",,,-18308000,110941403.81,,,,,,
11/8/23,09:35:08,TRD,1750743589,"BOT +100,000 GOOGL @131.70",,,-13170000,97771403.81,,,,,,
11/8/23,10:15:58,TRD,1750816836,SOLD -600 /ESZ23:XCME @4397.50,-714,-1350,-105000,97664339.81,,,,,,
11/8/23,10:18:37,TRD,1750820920,SOLD -300 /ESZ23:XCME @4398.75,-357,-675,,97663307.81,,,,,,
11/8/23,10:30:29,TRD,1750835725,BOT +100 AAPL 100 (Weeklys) 10 NOV 23 182.5 CALL @1.13,-0.6,-65,-11300,97651942.21,,,,,,
11/8/23,10:36:06,TRD,1750838880,SOLD -100 AAPL 100 (Weeklys) 10 NOV 23 182.5 CALL @1.07,-0.78,-65,10700,97662576.43,,,,,,
11/8/23,10:38:51,TRD,1750842083,"SOLD -100,000 AAPL @182.39",-308.24,,18239000,115901268.19,,,,,,
11/8/23,10:39:02,TRD,1750842087,"SOLD -100,000 GOOGL @131.03",-221.44,,13103000,129004046.75,,,,,,
11/8/23,14:32:04,TRD,1751001628,"BOT +10,000 NOC @459.89",,,-4598900,124405146.75,,,,,,
11/8/23,14:36:11,TRD,1751004137,"SOLD -15,000 HUBB @282.45",-71.6,,4236750,128641825.15,,,,,,
11/8/23,16:15:00,ADJ,,/ESZ23:XCME mark to market at 4399.50 preliminary settlement price,,,-41250,128600575.15,,,,,,
,,,,TOTAL,"($2,708.96)","($4,112.50)","($690,000.00)","$128,600,575.15",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,11/8/23,01:00:00,BAL,--,Cash balance at the start of the business day 08.11 CST.,--,--,--,"$10,000.00",,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Total Cash $128,600,575.15",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,,
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,11/8/23 14:36:05,STOCK,SELL,-15000,TO OPEN,HUBB,,,STOCK,~,MKT,DAY,FILLED
,,11/8/23 14:32:01,STOCK,BUY,10000,TO OPEN,NOC,,,STOCK,~,MKT,DAY,FILLED
,,11/8/23 13:20:18,FUTURE,BUY,600,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4360.75,LMT,DAY,EXPIRED
,,11/8/23 10:38:52,STOCK,SELL,-100000,TO CLOSE,GOOGL,,,STOCK,~,MKT,DAY,FILLED
,,11/8/23 10:38:43,STOCK,SELL,-100000,TO CLOSE,AAPL,,,STOCK,~,MKT,DAY,(0) EXPIRED
,,11/8/23 10:35:50,SINGLE,SELL,-100,TO CLOSE,AAPL,10 NOV 23,182.5,CALL,~,MKT,DAY,FILLED
,,,RE #1750835772,,,,,,,,,,,
,,11/8/23 10:32:17,SINGLE,SELL,-100,TO CLOSE,AAPL,10 NOV 23,182.5,CALL,1.55,LMT,DAY,CANCELED
,,11/8/23 10:30:29,SINGLE,BUY,100,TO OPEN,AAPL,10 NOV 23,182.5,CALL,~,MKT,DAY,FILLED
,,11/8/23 10:18:27,FUTURE,SELL,-300,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,11/8/23 10:15:58,FUTURE,SELL,-600,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,11/8/23 09:34:29,STOCK,BUY,100000,TO OPEN,GOOGL,,,STOCK,~,MKT,DAY,FILLED
,,11/8/23 09:33:23,STOCK,BUY,100000,TO OPEN,AAPL,,,STOCK,~,MKT,DAY,FILLED
,,11/8/23 09:32:42,FUTURE,BUY,600,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,11/8/23 09:31:51,FUTURE,SELL,-120,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,11/8/23 09:30:35,FUTURE,SELL,-150,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/21/23 12:00:31,STOCK,BUY,100000,TO OPEN,WMT,,,STOCK,155,LMT,GTC,WORKING
,,,,,,,,,,,,,,
