DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
10/26/23,01:00:00,BAL,,Cash balance at the start of business day 26.10 CST,,,,133412674.08,,,,,,
10/26/23,06:36:54,TRD,1745839821,SOLD -1 /6EZ23:XCME @1.0563,-1.61,-2.25,,133412670.22,,,,,,
10/26/23,09:01:16,TRD,1745839818,SOLD -20 /ESZ23:XCME @4200.25,-23.8,-45,,133412601.42,,,,,,
10/26/23,09:07:59,TRD,1745862426,SOLD -20 /ESZ23:XCME @4197.00,-23.8,-45,,133412532.62,,,,,,
10/26/23,09:33:23,TRD,1745879724,BOT +100 /ESZ23:XCME @4203.75,-119,-225,-10250,133401938.62,,,,,,
10/26/23,09:42:44,TRD,1745904286,SOLD -60 /ESZ23:XCME @4200.50,-71.4,-135,-9750,133391982.22,,,,,,
10/26/23,09:57:19,TRD,1745943202,SOLD -100 /ESZ23:XCME @4188.50,-119,-225,,133391638.22,,,,,,
10/26/23,10:11:37,TRD,1745974626,BOT +100 /ESZ23:XCME @4184.00,-119,-225,22500,133413794.22,,,,,,
10/26/23,10:30:06,TRD,1746007860,BOT +200 /ESZ23:XCME @4185.75,-238,-450,,133413106.22,,,,,,
10/26/23,10:35:29,TRD,1746016668,BOT +100 /ESZ23:XCME @4179.50,-119,-225,,133412762.22,,,,,,
10/26/23,10:57:10,TRD,1746055041,SOLD -800 /ESZ23:XCME @4197.50,-952,-1800,207500,133617510.22,,,,,,
10/26/23,11:01:51,TRD,1746059274,BOT +500 /ESZ23:XCME @4195.00,-595,-1125,62500,133678290.22,,,,,,
10/26/23,13:04:11,TRD,1746187027,BOT +100 SPY 100 7 NOV 23 425 CALL @1.40,-0.6,-65,-14000,133664224.62,,,,,,
10/26/23,13:06:31,TRD,1746189901,SOLD -100 SPY 100 7 NOV 23 400 PUT @1.86,-0.91,-65,18600,133682758.71,,,,,,
10/26/23,13:35:09,TRD,1746208493,BOT +50 /ESZ23:XCME @4156.75,-59.5,-112.5,,133682586.71,,,,,,
10/26/23,13:35:52,TRD,1746213904,BOT +50 /ESZ23:XCME @4157.75,-59.5,-112.5,,133682414.71,,,,,,
10/26/23,14:33:19,TRD,1743977765,"SOLD -220,000 BAC @26.26",-97.63,,5777200,139459517.08,,,,,,
10/26/23,16:15:00,ADJ,,/ESZ23:XCME mark to market at 4156.50 preliminary settlement price,,,-3750,139455767.08,,,,,,
,,,,TOTAL,"($2,599.75)","($4,857.25)","$6,050,550.00","$139,455,767.08",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,10/26/23,01:00:00,BAL,--,Cash balance at the start of the business day 26.10 CST.,--,--,--,"$10,000.00",,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Total Cash $139,455,767.08",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,,
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,10/26/23 15:07:26,SINGLE,BUY,99,TO CLOSE,SPY,7 NOV 23,400,PUT,1.15,LMT,DAY,EXPIRED
,,10/26/23 15:06:52,SINGLE,SELL,-99,TO CLOSE,SPY,7 NOV 23,425,CALL,1.85,LMT,DAY,EXPIRED
,,10/26/23 15:01:35,FUTURE,SELL,-100,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4200,LMT,DAY,EXPIRED
,,10/26/23 13:35:51,FUTURE,BUY,50,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 13:35:09,FUTURE,BUY,50,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 13:06:22,SINGLE,SELL,-100,TO OPEN,SPY,7 NOV 23,400,PUT,~,MKT,DAY,FILLED
,,10/26/23 13:03:57,SINGLE,BUY,100,TO OPEN,SPY,7 NOV 23,425,CALL,~,MKT,DAY,FILLED
,,,RE #1746183198,,,,,,,,,,,
,,10/26/23 13:03:18,SINGLE,BUY,100,TO OPEN,SPY,7 NOV 23,425,CALL,1.31,LMT,DAY,CANCELED
,,10/26/23 11:18:49,STOCK,SELL,-200000,TO CLOSE,CSCO,,,STOCK,52.02,LMT,DAY,EXPIRED
,,10/26/23 11:01:50,FUTURE,BUY,500,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 10:57:08,FUTURE,SELL,-800,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 10:35:24,FUTURE,BUY,100,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 10:30:05,FUTURE,BUY,200,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 10:11:35,FUTURE,BUY,100,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4190.75,LMT,DAY,FILLED
,,10/26/23 09:57:19,FUTURE,SELL,-100,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 09:42:44,FUTURE,SELL,-60,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 09:33:21,FUTURE,BUY,100,TO CLOSE,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 09:07:59,FUTURE,SELL,-20,TO OPEN,/ESZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 06:36:54,FUTURE,SELL,-1,TO OPEN,/6EZ23,DEC 23,,FUTURE,~,MKT,DAY,FILLED
,,10/26/23 06:36:33,FUTURE,SELL,-1,TO OPEN,/6EZ23,DEC 23,,FUTURE,1.05685,LMT,DAY,CANCELED
,,10/26/23 06:36:15,FUTURE,SELL,-20,TO OPEN,/ESZ23,DEC 23,,FUTURE,4200,LMT,DAY,FILLED
,,10/21/23 12:30:32,STOCK,SELL,-30000,TO OPEN,ACN,,,STOCK,311,LMT,GTC,WORKING
,,10/21/23 12:27:48,STOCK,SELL,-160000,TO OPEN,CRM,,,STOCK,212.7,LMT,GTC,WORKING
,,10/21/23 12:25:22,STOCK,SELL,-220000,TO OPEN,BAC,,,STOCK,26.25,LMT,GTC,FILLED
,,10/21/23 12:19:43,STOCK,BUY,18500,TO OPEN,COST,,,STOCK,542,LMT,GTC,WORKING
,,10/21/23 12:17:46,STOCK,SELL,-160000,TO OPEN,ORCL,,,STOCK,110,LMT,GTC,WORKING
,,10/21/23 12:00:31,STOCK,BUY,100000,TO OPEN,WMT,,,STOCK,155,LMT,GTC,WORKING
,,10/21/23 11:28:49,STOCK,SELL,-60000,TO OPEN,FDX,,,STOCK,246.2,LMT,GTC,WORKING
,,,,,,,,,,,,,,
Account Trade History,,,,,,,,,,,,,,
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type,,
,10/26/23 14:33:19,STOCK,SELL,-220000,TO OPEN,BAC,,,STOCK,26.26,26.26,LMT,,
,10/26/23 13:35:52,FUTURE,BUY,50,TO OPEN,/ESZ23,DEC 23,,FUTURE,4157.75,4157.75,MKT,,
,10/26/23 13:35:09,FUTURE,BUY,50,TO OPEN,/ESZ23,DEC 23,,FUTURE,4156.75,4156.75,MKT,,
,10/26/23 13:06:31,SINGLE,SELL,-100,TO OPEN,SPY,7 NOV 23,400,PUT,1.86,1.86,MKT,,
,10/26/23 13:04:11,SINGLE,BUY,100,TO OPEN,SPY,7 NOV 23,425,CALL,1.4,1.4,MKT,,
,10/26/23 11:01:51,FUTURE,BUY,500,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4195,4195,MKT,,
,10/26/23 10:57:10,FUTURE,SELL,-800,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4197.5,4197.5,MKT,,
,10/26/23 10:35:29,FUTURE,BUY,100,TO OPEN,/ESZ23,DEC 23,,FUTURE,4179.5,4179.5,MKT,,
,10/26/23 10:30:06,FUTURE,BUY,200,TO OPEN,/ESZ23,DEC 23,,FUTURE,4185.75,4185.75,MKT,,
,10/26/23 10:11:37,FUTURE,BUY,100,TO CLOSE,/ESZ23,DEC 23,,FUTURE,4184,4184,LMT,,
